Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Latin Electronic,Electronic Cumbia,Subgenre,95,105,95-105,Minor (A/D min),"8A, 7A",,,7,"Moombahton, Tribal/Guaracha, Reggaeton","Percussion-loop bridge, cut on the drop",Filter + Crush - punchy percussion colour,Roll & Echo on the drop; Vinyl Brake for edits,4 bars,Roll 1/8; Echo 1/1,40-70%,In: intro. Out: on the drop,Med - vocal chants,Med - drops align,8-16 bars,16,Percussive Latin groove in,16,Whistle/riser tension,32,"Guaracha/dembow drop - aggressive, sweaty party peak",16,Percussion breather,16,Perc tail for mix,4-6 min,16-bar,Intro -> build -> guaracha/dembow drop -> breakdown -> second drop -> outro; percussive.,,,Traditional cumbia rhythm reworked with electronic production,"Guaracha whistles, Latin percussion (congas/timbales), synth stabs",Aggressive Latin perc over 4/4 or dembow groove,"Minor, percussion-led over harmony","Percussion layering, whistle stabs, drop energy, hype vocals",Natural minor,i-VI-III-VII / percussion-led,"Latin perc, guaracha whistles; Serum",Master ~-7 LUFS; percussion punch; mono sub,,,,,Latin Electronic,,,,,,
Latin Electronic,Moombahton,Subgenre,108,115,108-115,Minor (A/D min),"8A, 7A",Syncopated (dembow),Peak,7,"Reggaeton, Dembow, Latin Electronic","Dembow bridge, drop-swap",Filter + Crush - punchy percussion colour,Roll & Echo on the drop; Vinyl Brake for edits,4 bars,Roll 1/8; Echo 1/1,40-70%,In: intro. Out: on the drop,Med - vocal chants,Med - drops align,8-16 bars,16,Dembow groove in,8,Riser tension,16,"~108 BPM dembow drop - sweaty, party bounce",16,Vocal breather,16,Tail,3-4 min,8/16-bar,Intro -> build -> ~108 BPM dembow drop -> breakdown -> second drop -> outro.,USA,2010,Dutch house slowed to ~108 with dembow,"Dutch-house synths slowed, dembow percussion, big leads","~108 BPM dembow groove, big kick & snare","Minor, hooky lead","Slowed house energy, dembow programming, drop focus",Natural minor,i-VI-III-VII hooky,"Dutch-house synths, dembow; Serum",Master ~-7 LUFS; big kick/snare; mono sub,"Dillon Francis, Major Lazer",,Mad Decent,peak 2011-14,"Reggaeton, Dembow",,Masta Blasta - Dillon Francis (2012),Get Free (edits) - Major Lazer (2012),Bootleg (Munchi) - Munchi (2010),,
Latin Electronic,Dembow,Subgenre,110,120,110-120,Minor (A/D min),"8A, 7A",Syncopated (dembow),Peak,7,"Moombahton, Tribal/Guaracha, Reggaeton","Percussion-loop bridge, cut on the drop",Filter + Dub Echo - dubby vocal colour,Echo & Roll on the dembow riddim,2-4 bars,Echo 1/1; Roll 1/8,40-60%,In: intro. Out: on the drop,Med - vocal chants,Med - drops align,8-16 bars,n/a,Percussive Latin groove in,n/a,Whistle/riser tension,n/a,"Guaracha/dembow drop - aggressive, sweaty party peak",n/a,Percussion breather,n/a,Perc tail for mix,3-4 min,verse/chorus,Intro -> build -> guaracha/dembow drop -> breakdown -> second drop -> outro; percussive.,Dominican Republic,2010s,"Fast dembow riddim, minimalist","Raw dembow riddim, minimal synth, vocal shouts","Fast dembow pattern, snappy snare",Minimal minor,"Loop programming, vocal chops, raw energy",Natural minor,i-VI-III-VII / percussion-led,"Latin perc, guaracha whistles; Serum",Master ~-7 LUFS; percussion punch; mono sub,El Alfa,,,2018-present,Reggaeton,,,,,,
Latin Electronic,Reggaeton,Subgenre,90,100,90-100,Minor (A/D min),"8A, 7A",Syncopated (dembow),Peak,6,"Dembow, Moombahton, Latin Electronic","Dembow-loop bridge, vocal in/out",Filter + Dub Echo - dubby vocal colour,"Echo, Vinyl Brake & Roll on the dembow",2-4 bars,Echo 1/1; Vinyl Brake; Roll 1/8,40-60%,In: intro. Out: on the dembow / tape-stop,High - vocal-led; avoid two vocals,Med - dembow beat-swap,4-8 bars,n/a,Dembow vocal set-up,n/a,Pre-hook lift,n/a,Hook over dembow - sensual party peak,n/a,Verse dip,n/a,Fade,3-4 min,verse/chorus,Song-form over dembow riddim: intro -> verse -> hook -> verse -> hook -> outro.,Puerto Rico,1990s,"Dembow riddim, Spanish vocals","Dembow riddim, synth stabs, vocal-led",Dembow 'boom-ch-boom-chick' pattern,"Minor, hook-driven","Dembow programming, vocal production, sidechain",Natural minor,i-VI-III-VII / i-iv,"Dembow kit, synth stabs; Kontakt",Master ~-8 LUFS; vocal-forward; mono sub,"Daddy Yankee, Bad Bunny",,,surging 2004-present,"Dembow, Latin Electronic",,Gasolina - Daddy Yankee (2004),Despacito - Luis Fonsi & Daddy Yankee (2017),"Oye Mi Canto - N.O.R.E. ft Daddy Yankee, Nina Sky (2004)",Danza Kuduro - Don Omar & Lucenzo (2010),Mia - Bad Bunny ft Drake (2018)
Mainstage,Mainstage,Genre,126,132,126-132,Minor (F/G/A min),"4A, 6A, 8A",Four-on-the-floor,Festival,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,Netherlands/USA,early 2010s,"Big-room festival EDM, huge drops, anthemic","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,"Martin Garrix, Tiesto, David Guetta",Martin Garrix - Animals,"Spinnin, STMPD",peak 2012-16; steady,"Big Room, Future Rave",Beatport festival/EDM cluster,Animals - Martin Garrix (2013),Levels - Avicii (2011),Tsunami - DVBBS & Borgeous (2013),Reload - Sebastian Ingrosso & Tommy Trash (2012),Cannonball - Showtek & Justin Prime (2012)
Mainstage,Big Room,Subgenre,126,132,126-132,Minor (F/G/A min),"4A, 6A, 8A",Four-on-the-floor,Festival,9,"Electro House, Mainstage, Future Rave",Slam the drop; escape via breakdown,Noise + Filter - the noise riser IS the build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll build,Roll to build; Reverb before drop,build 50->100%,In: 16-bar intro. Out: exit FAST on the breakdown - abrupt drops,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Intro (16 bars) -> build-up -> kick+lead drop (16 bars) -> breakdown -> 2nd drop -> outro.,Netherlands,early 2010s,"Huge festival drops, kick+lead, minimal groove","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor,i-VI-III-VII anthem,Sylenth1/Nexus leads; Sylenth1 kick,Loud master ~-6 LUFS; kick+lead; mono sub,"Martin Garrix, W&W",,Spinnin,peak 2013-15 (declined),"Mainstage, Electro House",,Animals - Martin Garrix (2013),Spaceman - Hardwell (2012),"Tremor - Dimitri Vegas, Martin Garrix & Like Mike (2014)",Booyah - Showtek ft We Are Loud & Sonny Wilson (2013),Bigfoot - W&W (2014)
Mainstage,Electro House,Subgenre,125,130,125-130,Minor (F/G/A min),"4A, 6A, 8A",Four-on-the-floor,Peak,7,"Big Room, Mainstage, Bass House","Blend intro, slam the drop",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,Europe,2000s,"Distorted lead synths, big drops","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor,vi-IV-I-V / i-VI drops,"Complextro bass (Serum), Massive; Serum",Master ~-7 LUFS; punchy; mono sub,"Deadmau5, Steve Aoki",,,peak 2008-13 (declined),"Big Room, Complextro",,Ghosts 'n' Stuff - deadmau5 ft Rob Swire (2008),D.A.N.C.E. - Justice (2007),Illmerica - Wolfgang Gartner (2010),Internet Friends - Knife Party (2011),Language - Porter Robinson (2012)
Mainstage,Future House,Subgenre,124,128,124-128,Minor (G/A min),"6A, 8A",Four-on-the-floor,Peak,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,Filtered groove tool in,16,Metallic bass tease & riser,32,"Bouncy metallic-bass drop - clubby, playful peak",16,Vocal/chord breather,16,Groove tail for mix,4-6 min,16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,Netherlands,2010s,"Metallic filtered bass, garage-tinged house","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,"Oliver Heldens, Tchami",Oliver Heldens - Gecko,Musical Freedom,peak 2014-17,"Bass House, Mainstage",,Gecko (Overdrive) - Oliver Heldens ft Becky Hill (2014),Koala - Oliver Heldens (2014),After Hours - Tchami (2013),Promesses - Tchami ft Kaleem Taylor (2014),Sun Is Shining - Axwell Λ Ingrosso (2015)
Mainstage,Speed House,Subgenre,135,150,135-150,Minor (F/G/A min),"4A, 6A, 8A",,,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,,,"Fast, bass-heavy house hybrid (~135-150) blending bass house & hard groove","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,,,,,"Bass House, Mainstage",,,,,,
Mainstage,Future Rave,Subgenre,130,140,130-140,Minor (F/G/A min),"4A, 6A, 8A",Four-on-the-floor,Peak/Festival,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,Europe,2020,Dark rave synths + melodic techno energy,"Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,David Guetta & MORTEN,,Musical Freedom,2020-present,"Mainstage, Melodic Techno",,,,,,
Mainstage,Complextro,Subgenre,128,130,128-130,Minor (F/G/A min),"4A, 6A, 8A",,,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,,,"Glitchy, detailed electro-house with intricate, jumpy basslines","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,"Porter Robinson, Zedd",,,,Electro House,DJcity,,,,,
Mainstage,Progressive Big Room,Subgenre,128,132,128-132,Minor (F/G/A min),"4A, 6A, 8A",,,9,"Electro House, Future Rave, Bass House","Blend intros, slam the drop, escape via breakdown",Noise + Filter - noise riser is the signature build,"Reverb before the drop, Roll to build, Echo to exit",4 bars; 1/4->1/16 roll to build,Roll to build; Reverb before drop,build 50->100%; Reverb ~60%,In: 16-bar intro. Out: exit FAST on the breakdown - drops are abrupt,"Med - vocal intros, instrumental drops",High - drops align on the phrase,8-16 bars,16,"Anthemic tease - melody/vocal hint, low entry",8-16,"Explosive tension - riser, snare roll, hands-up",16-32,"Maximum impact - huge kick+lead, festival explosion",16,Emotional lull - vocal/melody breather,16,"Quick fade, DJ-mix tail",3-5 min,8/16-bar,Short intro (16 bars) -> build-up (snare roll/riser) -> big drop (16 bars) -> breakdown -> 2nd build -> 2nd drop -> outro.,,,"Melodic, uplifting big-room - festival energy with emotional leads","Huge supersaw leads, distorted lead stabs, big plucks, sub+kick bass","Punchy 4/4 kick, snare rolls/uplifters in builds, big claps","Simple anthemic minor progressions, one big hook","Kick+lead 'drop' formula, snare rolls, risers/downlifters, loud master",Natural minor / major,i-VI-III-VII or vi-IV-I-V anthem,"Sylenth1/Nexus leads, Sylenth kicks; Sylenth1",Loud master ~-6 to -7 LUFS; big kick+lead; mono sub,,,,,"Big Room, Mainstage",,,,,,
Melodic House & Techno,Melodic House & Techno,Genre,120,124,120-124,Minor (F#/A/G min),"11A, 8A, 6A",Four-on-the-floor,Peak,6,"Progressive House, Organic House, Afro House","Blend in the breakdown, swap on the drop","Filter + Space - emotive, spacious colour",Reverb & Echo wash-outs; Spiral/Ping-Pong for lift,8-16 bars,Reverb; Echo 1/1; Spiral 1/1,40-70%,In: 16-32 bar intro. Out: emotional breakdown,Med - vocal hooks common,Med - align on the drop,32 bars,32,"Moody, atmospheric entry",16,"Emotional tension climbs, melody hints",32,Driving melancholy - emotive lead over deep groove,32,"Full emotional breakdown - melodic peak, spine-tingle",32,Melodic wind-down for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe,mid 2010s,Emotive melodic leads over deep techno groove,"Emotive minor synth leads, deep driving bass, analog pads","Driving techno 4/4, tight hats, minimal claps","Minor-key emotive melodies & arps, melancholy tension","Big reverb/delay on leads, sidechain, cinematic breakdowns, layering",Natural / harmonic minor,i-VI-III-VII emotive minor,"Diva, Serum, Omnisphere pads","Master ~-7 to -8 LUFS; wide leads, mono sub","Anyma, Tale Of Us, ARTBAT",Tale Of Us - Unwound,"Afterlife, Diynamic",2018-present (strong),"Progressive House, Organic House",,Unwound - Tale of Us (2014),Consciousness - Anyma & Chris Avantgarde (2022),Return - ARTBAT (2018),Breathe - CamelPhat & Cristoph ft Jem Cooke (2017),Singularity - Stephan Bodzin (2015)
Melodic House & Techno,Melodic House,Subgenre,120,124,120-124,Minor (F#/A/G min),"11A, 8A, 6A",,,6,"Progressive House, Organic House, Afro House","Blend in the breakdown, swap on the drop","Filter + Space - emotive, spacious colour",Reverb & Echo wash-outs; Spiral/Ping-Pong for lift,8-16 bars,Reverb; Echo 1/1; Spiral 1/1,40-70%,In: 16-32 bar intro. Out: emotional breakdown,Med - vocal hooks common,Med - align on the drop,32 bars,32,"Moody, atmospheric entry",16,"Emotional tension climbs, melody hints",32,Driving melancholy - emotive lead over deep groove,32,"Full emotional breakdown - melodic peak, spine-tingle",32,Melodic wind-down for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Warm, emotive house with rich chords and melodic hooks","Emotive minor synth leads, deep driving bass, analog pads","Driving techno 4/4, tight hats, minimal claps","Minor-key emotive melodies & arps, melancholy tension","Big reverb/delay on leads, sidechain, cinematic breakdowns, layering",Natural / harmonic minor,i-VI-III-VII emotive minor,"Diva, Serum, Omnisphere pads","Master ~-7 to -8 LUFS; wide leads, mono sub","Lane 8, Yotto",,,,Melodic House & Techno,,,,,,
Melodic House & Techno,Melodic Techno,Subgenre,122,126,122-126,Minor (F#/A/G min),"11A, 8A, 6A",Four-on-the-floor,Peak,6,"Progressive House, Techno, Organic House","Blend in breakdown, swap on drop",Filter + Space - emotive spacious colour,Reverb & Echo wash-outs; Spiral for lift,8-16 bars,Reverb; Echo 1/1; Spiral 1/1,40-70%,In: 16-32 bar intro. Out: emotional breakdown,Med - vocal hooks,Med - align on the drop,32 bars,32,"Moody, atmospheric entry",16,"Emotional tension climbs, melody hints",32,Driving melancholy - emotive lead over deep groove,32,"Full emotional breakdown - melodic peak, spine-tingle",32,Melodic wind-down for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe,mid 2010s,"Emotive minor-key melodies, driving techno","Emotive minor synth leads, deep driving bass, analog pads","Driving techno 4/4, tight hats, minimal claps","Minor-key emotive melodies & arps, melancholy tension","Big reverb/delay on leads, sidechain, cinematic breakdowns, layering",Natural / harmonic minor,i-VI-III-VII emotive,"Diva, Serum, Omnisphere; sub",Master ~-7 LUFS; wide leads; mono sub,"Anyma, ARTBAT",,Afterlife,2017-present,"Melodic House, Progressive",,,,,,
Minimal / Deep Tech,Minimal / Deep Tech,Genre,124,128,124-128,Minor (A/G min),"8A, 6A",Four-on-the-floor,Afterhours,5,"Tech House, Techno, House","Long groove blend, swap on the loop","Filter + Dub Echo - subtle, groove-serving","Echo, Trans & short Roll for micro-tension",4-8 bars,Echo 1/2; Trans 1/4,20-40% subtle,In/Out: anywhere in the groove - forgiving,"Low - tool-like, safe to layer & loop",Low - groove blend,16-32 bars,32,Sparse rolling groove in,-,"Micro-tension, subtle bass shifts",32,"Rolling deep pocket - groovy, understated hypnosis",16,"Bass drops, micro-detail suspense",32,Strips to loop for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Romania/UK,2010s,"Sparse, groovy, rolling low-end; ROMinimal","Sub bass, tiny clicks/blips, micro-samples, dry perc","Stripped 4/4, syncopated micro-percussion, groove in the gaps","Minimal - bass movement over harmony, dark minor","Micro-editing, tight groove/swing, subtractive mixing, low-end focus","Natural minor, minimal",Bass movement over harmony (no chords),"Serum sub, micro-samples; Ableton",Master ~-8 LUFS; tight groove; mono sub,"Ricardo Villalobos, Cristi Cons",,"a:rpia:r, Amphia",2016-present,"Tech House, Techno",,Dexter - Ricardo Villalobos (2004),Easy Lee - Ricardo Villalobos (2003),La La Land - Green Velvet (2011),Roadkill - Dubfire (2007),Vibe Your Love - Maceo Plex (2011)
Minimal / Deep Tech,Bounce,Subgenre,124,128,124-128,Minor (A/G min),"8A, 6A",,,5,"Tech House, Techno, House","Long groove blend, swap on the loop","Filter + Dub Echo - subtle, groove-serving","Echo, Trans & short Roll for micro-tension",4-8 bars,Echo 1/2; Trans 1/4,20-40% subtle,In/Out: anywhere in the groove - forgiving,"Low - tool-like, safe to layer & loop",Low - groove blend,16-32 bars,32,Sparse rolling groove in,-,"Micro-tension, subtle bass shifts",32,"Rolling deep pocket - groovy, understated hypnosis",16,"Bass drops, micro-detail suspense",32,Strips to loop for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Groovy, punchy minimal/tech offshoot - stripped, hooky, playful","Sub bass, tiny clicks/blips, micro-samples, dry perc","Stripped 4/4, syncopated micro-percussion, groove in the gaps","Minimal - bass movement over harmony, dark minor","Micro-editing, tight groove/swing, subtractive mixing, low-end focus","Natural minor, minimal",Bass movement over harmony (no chords),"Serum sub, micro-samples; Ableton",Master ~-8 LUFS; tight groove; mono sub,,,,,Minimal / Deep Tech,,,,,,
Minimal / Deep Tech,Deep Tech,Subgenre,124,128,124-128,Minor (A/G min),"8A, 6A",,,5,"Tech House, Techno, House","Long groove blend, swap on the loop","Filter + Dub Echo - subtle, groove-serving","Echo, Trans & short Roll for micro-tension",4-8 bars,Echo 1/2; Trans 1/4,20-40% subtle,In/Out: anywhere in the groove - forgiving,"Low - tool-like, safe to layer & loop",Low - groove blend,16-32 bars,32,Sparse rolling groove in,-,"Micro-tension, subtle bass shifts",32,"Rolling deep pocket - groovy, understated hypnosis",16,"Bass drops, micro-detail suspense",32,Strips to loop for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Dark, rolling, bass-driven house/tech hybrid for late rooms","Sub bass, tiny clicks/blips, micro-samples, dry perc","Stripped 4/4, syncopated micro-percussion, groove in the gaps","Minimal - bass movement over harmony, dark minor","Micro-editing, tight groove/swing, subtractive mixing, low-end focus","Natural minor, minimal",Bass movement over harmony (no chords),"Serum sub, micro-samples; Ableton",Master ~-8 LUFS; tight groove; mono sub,,,,,"Minimal / Deep Tech, Tech House",,,,,,
Minimal / Deep Tech,Minimal House,Subgenre,124,128,124-128,Minor (A/G min),"8A, 6A",,,5,"Tech House, Techno, House","Long groove blend, swap on the loop","Filter + Dub Echo - subtle, groove-serving","Echo, Trans & short Roll for micro-tension",4-8 bars,Echo 1/2; Trans 1/4,20-40% subtle,In/Out: anywhere in the groove - forgiving,"Low - tool-like, safe to layer & loop",Low - groove blend,16-32 bars,32,Sparse rolling groove in,-,"Micro-tension, subtle bass shifts",32,"Rolling deep pocket - groovy, understated hypnosis",16,"Bass drops, micro-detail suspense",32,Strips to loop for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Sparse, hypnotic house - micro-detail groove, ROMinimal style","Sub bass, tiny clicks/blips, micro-samples, dry perc","Stripped 4/4, syncopated micro-percussion, groove in the gaps","Minimal - bass movement over harmony, dark minor","Micro-editing, tight groove/swing, subtractive mixing, low-end focus","Natural minor, minimal",Bass movement over harmony (no chords),"Serum sub, micro-samples; Ableton",Master ~-8 LUFS; tight groove; mono sub,Ricardo Villalobos,,,,Minimal / Deep Tech,,,,,,
